DISEASES_spacy,DRUGS_spacy,DISEASES_BERT,DRUGS_BERT
gastropathy,,,
emesis,,,
nausea,,,
emesis,,,
tarry,,,
lightheadedness,,,
hematemesis,,,
abdominal pain fever chills,,,
pain,naproxen,,
variceal bleed,protonix,,
infection,octreotide,,
ascites,norepinephrine,,
tarry,,,
emesis,,,
,glucose,,
,creat na,,
,calcium,,
,glucose,,
,creat na,,
,calcium,,
pylori,nitrite,,
,glucose,,
,ketone,,
aortic regurgitation,,,
mitral regurgitation,,,
pulmonary artery systolic hypertension,,,
pericardial effusion,,,
mitral regurgitation,,,
pulmonary artery systolic hypertension,,,
esophagus erythema,,,
erosion,,,
gastritis bleeding,,,
pyloric ulcer,,,
ulcer,,,
pericardial effusion,,,
cardiac tamponade pulmonary vasculature,sliver,,
pleural effusion,,,
pneumothorax,,,
pleural effusion,,,
portal venous thrombosis,,,
ascites,,,
ascites,,,
cirrhosis splenomegaly,,,
cirrhosis,,,
emesis,,,
melena,,,
hypotension,,,
bleeds,,,
erythema,,,
erosion,,,
gastritis,,,
backache,pantoprazole,,
pain,tylenol,,
hypotension,,,
cirrhosis,,,
liver failure,,,
edema,,,
peptic ulcer,cations,,
bleed,furosemide,,
illness yo man with known coronary disease,lisinopril,,
angina,spironolactone,,
rest angina,,,
sl,,,
vessel disease,,,
stenosis,,,
atrial septal defect,,,
left ventricular systolic dysfunction,,,
depressed lvef the estimated cardiac,,,
depressed,,,
thrombus,,,
calcification of the non coronary cusp,phenylephrine,,
aortic valve stenosis,,,
aortic regurgitation,,,
mitral regurgitation,,,
mitral valve prolapse,,,
pericardial effusion postbypass,,,
mitral regurgitation,glucose,,
,creat na,,
,lisinopril,,
pain,,,
allergies,lisinopril atenolol,,
coronary artery disease,qhs fenofibrate,,
cardiomyopathy,qam,,
ventricular tachycardia,qpm,,
atrial flutter,calcium plavix,,
hypertension dyslipidemia,,,
diabetes mellitus obesity,,,
disease lafb peripheral vascular disease,,,
left leg claudication right thigh tumor s p radiation,,,
fracture,,,
liver lac pulmonary contusions,,,
hemorrhage,,,
subarachnoid hem,,,
axonal injury,cspine,,
fracture,,,
traumatic malalignment,,,
pulmonary contusions,,,
left hepatic lacerations,,,
fractures,,,
femoral fracture,,,
angulation,,,
subluxation,,,
cspine edema,,,
venous thrombosis,,,
thrombosis,,,
atelectasis,,,
liver laceration,,,
fractures,,,
fracture,,,
trauma,,,
right femur hematoma,dilantin,,
compartment symdrome,,,
fevers,,,
confusion,,,
pneumonia,vancomycin,,
fractures,8220,,
right femur fracture right thigh laceration right patellar fracture right metatarsal neck fracture small,,,
fracture,,,
blood loss anemia,,,
liver disease,alcohol,,
fractures,cocaine,,
atrial flutter,haldol,,
abdominal pain,ativan,,
,diltiazem,,
fracture,sliver,,
comminuted fracture,bilat le comminuted,,
calcification of the intraosseous ligament a small,,,
fracture,,,
fractures,,,
fracture,,,
right tibial fracture comminuted distal right fibular fracture,,,
displacement comminuted left calcaneal fracture,,,
gallstones,,,
hepatic biliary ductal dilatation,,,
cholecystitis,,,
intracranial hemorrhage,,,
bronchoalveolar cell carcinoma,,,
atherosclerotic coronary artery calcification,,,
embolism,,,
multiple ill,,,
opacities,,,
opacification,,,
fractures,,,
comminuted left calcaneal fracture,,,
hemorrhage,,,
infarct,,,
pyelonephritis,,,
abscess,,,
comminuted fracture,,,
fracture,,,
fractures,,,
fracture,,,
fractures,,,
fracture,,,
fracture,,,
fractures,,,
subluxation,,,
aortic regurgitation,thiamine,,
mitral regurgitation,,,
mitral valve prolapse,,,
pericardial effusion,,,
fractures,multivitamin,,
delirium,metoprolol,,
,diltiazem,,
,ammonia,,
,lactulose,,
somnolent,vancomycin,,
febrile,flagyl,,
,ceftriaxone flagyl,,
somnolent,,,
agonal,,,
,vancomycin,,
,vancomycin,,
pneumonia,daptomycin,,
pneuomonitis,linezolid,,
delirium,,,
delirium,,,
fevers,,,
infectious disease,,,
infection,,,
delirium,haldol zyprexa,,
delirium,alcohol,,
,delririum,,
delirium delirium,haldol,,
alcohol abuse,metoprolol,,
afib flutter,,,
febrile his afib flutter,,,
fever,metoprolol,,
atrial fibrillation,diltiazem,,
urinary retention,tylenol,,
hematuria,lovenox,,
,diltiazem,,
infection,haldol,,
delirium,,,
infection,,,
fractures,,,
fractures,,,
pilon fracture,,,
lower extremity,lovenox,,
fractures,diltiazem,,
fracture pilon fracture,,,
dislocation,,,
right calcaneus fracture,cocaine,,
delirium,alcohol atrial fibrillation,,
pneumonitis,,,
alcoholism,,,
delirium tremens polysubstance abuse,,,
atrial flutter,,,
liver failure,,,
alcoholism,,,
hcv infection,,,
thrombocytopenia,,,
splenomegaly,,,
hypertension,vancomycin,,
lymphadenopathy,,,
pancyctopenia,,,
mental retardation,flagyl tylenol,,
pain,unasyn zofran,,
fever,morphine,,
cholangitis,,,
gallstones,,,
acute cholecystitis angiomyolipoma,,,
cholangitis,,,
malignacy,,,
gallstones,glucose,,
acute cholecystitis no biliary dilation,creat na,,
intrahepatic biliary ductal dilatation,calcium,,
gallstones,lactate,,
cholangitis diverticula,,,
diverticulitis,,,
esophageal web periampullary diverticulum,,,
cholangitis,,,
tumor,,,
pleural effusion,,,
opacity,,,
atelectasis,,,
pneumonia,,,
lower lobe bronchiectasis,,,
pleural effusions,,,
pneumobilia,,,
biliary malign,,,
intrahepatic biliary ductal dilation,,,
cyst no intrahepatic lesions,,,
tive,,,
left renal lesion,,,
ascites,,,
mesenteric adenopathy,,,
diverticula,,,
osteopenic,,,
biliary dilation,,,
cholangitis,,,
pain,,,
fever,,,
sepsis,,,
fevers ercp showed stone obstruction,,,
hypotension,unasyn,,
pain,,,
stricture,,,
stricture,,,
biliary dilation,,,
cholelithiasis,,,
cholelithiasis,,,
acute suppurative cholecystitis,,,
atrial fibrillation,diltiazem,,
hypoxia,oxygen,,
pulm bronchiectasis,,,
sepsis,,,
arrhythmias,,,
cholangitis choledocholithiasis,oxygen,,
bacteremia,multivitamin,,
atrial fibrillation,,,
pulmonary edema,,,
bradycardia,,,
atrial appendage thrombus,,,
atrial septal defect,,,
patent foramen ovale,,,
ventricular hypertrophy,,,
left ventricular systolic function,,,
atheroma,,,
atheroma,,,
atheroma,,,
aortic valve stenosis,,,
aortic regurgitation,,,
mitral regurgitation,phenylephrine,,
pleural effusion,,,
aortic regurgitation,,,
atelectasis,,,
pleural effusion,,,
subclavian artery calcifications,,,
pneumothorax,,,
lower lobe atelectasis,,,
pleural effusion,,,
tooth,,,
,coumadin,,
nstemi,lovenox,,
renal insufficiency,diovan acidophilus,,
dementia,creatinine hypertension,,
anemia,,,
hematoma,,,
bruising,,,
incontinence,,,
nosebleeds,,,
pain,,,
pain,,,
chills,,,
bruising,,,
lethargy,,,
febrile,,,
neutropenic fever,acyclovir,,
hemorrhage,,,
subarachnoid hemorrhage,,,
zoster,,,
pain,,,
pain nausea visual,glucose urea,,
,creat sodium potassium chloride,,
,calcium phosphate,,
,magnesium uric acid,,
,nitrite,,
,glucose,,
,ketone,,
,bilirubin,,
,lactate,,
,glucose urea,,
,creat sodium potassium chloride,,
hemorrhages,,,
subarachnoid hemorrhage,,,
infarction,,,
acute spine injury,,,
acute myelogenous leukemia,,,
acute promyelocytic leukemia,,,
pancytopenia,,,
leukemia,,,
atra syndrome,daunurubicin,,
fevers,vancomycin,,
fevers,vanco cefepime,,
fever,vanco meropenem fluconzaole,,
headache,flagyl,,
pain,vanco,,
pneumonia,,,
,voriconazole,,
,acyclovir,,
head injury,,,
thrombocytopenia,,,
head revealed small foci,,,
hemorrhage,,,
subarachnoid hemorrhage,,,
hydrocephalus,,,
hemorrhage,,,
infarction,,,
pain,heparin,,
bone marrow pain,lovenox,,
hematoma,,,
cellulitis,,,
bladder dysfunction,decadron,,
tenderness,decadron,,
pain nerve irritation,,,
aberrancy,metoprolol,,
,metoprolol,,
,metoprolol,,
bradycardia,metoprolol,,
brady,,,
pedal edema,,,
pain,heparin,,
,heparin,,
,heparin,,
bleed,lovenox,,
febrile,,,
intracranial hemorrhage syncope,,,
htn dm hyperlipidemia,,,
asthma,,,
dizziness nausea vomiting,,,
chest pain,,,
hypotensive,atropine,,
bradycardia lasix,glucagon,,
hypotension,dopamine,,
hypotension,,,
vomiting,,,
vomiting,,,
lightheadedness,,,
syncope,,,
chest pain,,,
vomiting,,,
cough,,,
fevers,,,
totbili pm blood lipase pm blood ctropnt pm blood ck mb notdone ctropnt am blood ck mb notdone ctropnt pm blood caltibc,glucose,,
,creat na,,
,lactate,,
,nitrite,,
,glucose,,
,ketone,,
htn,lasix,,
hyperlipidemia,dopamine,,
asthma,,,
hypotension,,,
chest pain,,,
abdominal pain,,,
hypotension,,,
nausea and vomiting,,,
hypotensive,,,
hypotension,dopamine,,
dehydration,lisinopril,,
vomiting,atenolol lasix,,
hypotension,lasix,,
renal failure,creatinine,,
chronic renal failure,,,
chronic renal insufficiency,creatinine,,
vomiting,lantus,,
anemia,dopamine,,
htn,,,
hypertension,atenolol,,
hypotension,lisinopril,,
chest pain,atenolol lisinopril,,
asthma,albuterol,,
wheezing,lisinopril,,
,lasix,,
,trazodone,,
,insulin,,
,protonix,,
,zoloft albuterol,,
,atenolol,,
hypotension,lipitor,,
vomiting,,,
fracture,,,
seizure stroke,,,
numbness,,,
fracture,,,
confusion,,,
pain aphasia,,,
intracranial bleed,lactate,,
edema,narcan,,
seizure,ativan,,
,dilantin,,
,coumadin,,
,ethanol,,
,calcium phosphate magnesium,,
,glucose urea,,
,creat sodium potassium,,
intracranial hemorrhage,,,
edema,,,
arachnoid cyst,,,
low cardiac output liver u s limited examination patent hepatic arteries,,,
encephalopathy,,,
metabolic disturbances,,,
infection,,,
seizures,,,
seizures,,,
encephalopathies,,,
seizures,,,
ascites,,,
splenomegaly,,,
seizure stroke,,,
numbness,,,
fracture,,,
confusion,,,
pain aphasia,,,
pain,lactate,,
intracranial bleed,,,
edema,,,
diabetes,narcan,,
infection,ativan,,
fracture,dilantin,,
,coumadin,,
,tylenol,,
hepatosplenomegaly,,,
edema,,,
cteric sclerae neck supple,ethanol,,
chest decreased breath,,,
hepatosplenomegaly,,,
tenderness,,,
edema,,,
intracranial hemorrhage,calcium phosphate magnesium,,
edema,glucose urea,,
arachnoid cyst,creat sodium potassium chloride,,
low cardiac output liver u s limited examination patent hepatic arteries,,,
encephalopathy,,,
metabolic disturbances,,,
infection,,,
seizures,,,
seizures,,,
encephalopathies,,,
seizures,,,
ascites,,,
splenomegaly,,,
pain,,,
intracranial bleed,,,
edema,,,
ischemia,narcan,,
seizure,ativan,,
encephalitis meningitis,dilantin,,
meningitis,acyclovir,,
encephalitis,vanco,,
,ampicillin,,
encephalopathy,lactulose,,
seizure,,,
encephalopathy,,,
hepatic encephalopathy ammonia,,,
bowel movements liver disease,dilantin,,
,dilantin,,
,dilantin,,
,dilantin,,
,lactulose,,
,rifaximin,,
,lactulose,,
liver damage,tylenol,,
drug abuse,,,
primary biliary cirrhosis,,,
steatosis hepatis,,,
obesity,,,
splenomegaly,,,
ascites,,,
hepatitis,,,
hepatotoxic,,,
leukocytosis,ampicillin vancomycin,,
intermittent fever,ceftraixone,,
meningitis,,,
mitral regurgitation,,,
endocarditis,,,
endocarditis,,,
hypernatremia,,,
hypernatremia,iron,,
anemia,,,
anemia,,,
hemolysis,,,
